,Port Name,Administrative Approach Rank,Total Points,Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
129,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,5,Dry bulk carriers,2.0215,,13,,41352,,204014,,75286,,404389,,,,,
130,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,34409,,76420,,11208,,43878,,,,,
131,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0083,,15,,8225,,59226,,9047,,64220,,,,,
132,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1778,,10,,95555,,168189,,76135,,155159,,,,,
133,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,0,All ships,1.0958,,13,,32371,,237200,,46177,,404389,,4611,,23964,
134,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,1,Passenger ships,,,13,,16135,,169379,,,,,,,,,
135,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,2,Liquid bulk carriers,1.1646,,11,,21058,,170618,,36953,,323183,,,,,
136,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,3,Container ships,0.6479,,12,,49176,,237200,,,,,,4611,,23964,
137,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,4,Dry breakbulk carriers,1.2924,,16,,10187,,91784,,14433,,116173,,,,,
138,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,5,Dry bulk carriers,2.0146,,13,,40533,,204014,,73659,,404389,,,,,
139,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,13,,35035,,76420,,11561,,43878,,,,,
140,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0368,,13,,9364,,59229,,10242,,64220,,,,,
141,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S02,S2   2020,2020,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2007,,9,,96938,,168189,,77220,,154940,,,,,
142,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,0,All ships,1.134,,14,,31021,,237200,,45026,,404389,,4372,,23964,
143,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,1,Passenger ships,,,14,,14517,,85619,,,,,,,,,
144,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,1.1684,,12,,20121,,170618,,35087,,323183,,,,,
145,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,3,Container ships,0.6806,,13,,46935,,237200,,,,,,4372,,23964,
146,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,4,Dry breakbulk carriers,1.4358,,17,,10039,,91649,,14156,,103652,,,,,
147,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,5,Dry bulk carriers,2.0292,,14,,40526,,204014,,73691,,404389,,,,,
148,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,12,,33820,,76420,,11569,,43878,,,,,
149,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0382,,14,,9479,,61000,,10328,,64220,,,,,
150,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S01,S1   2021,2021,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1854,,10,,93756,,168189,,74508,,155159,,,,,
151,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,0,All ships,1.1681,,13,,31131,,236583,,45467,,404389,,4431,,23992,
152,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,1,Passenger ships,,,14,,14324,,77499,,,,,,,,,
153,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,1.1257,,12,,18945,,170618,,32897,,323183,,,,,
154,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,3,Container ships,0.7799,,13,,47583,,236583,,,,,,4431,,23992,
155,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,4,Dry breakbulk carriers,1.5639,,17,,10304,,91649,,14471,,103652,,,,,
156,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,5,Dry bulk carriers,2.066,,14,,41215,,203997,,75108,,404389,,,,,
157,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,12,,31129,,76420,,10989,,43878,,,,,
158,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0472,,14,,9344,,60784,,10166,,64220,,,,,
159,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2021S02,S2   2021,2021,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1965,,9,,98267,,168189,,78373,,155159,,,,,
160,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,0,All ships,1.1563,,14,,33241,,236583,,46318,,404389,,4446,,24000,
161,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,1,Passenger ships,,,12,,21848,,77499,,,,,,,,,
162,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,2,Liquid bulk carriers,1.1451,,12,,19438,,170618,,33800,,323183,,,,,
163,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,3,Container ships,0.7743,,13,,47428,,236583,,,,,,4446,,24000,
164,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,4,Dry breakbulk carriers,1.6292,,17,,10499,,91649,,14781,,103652,,,,,
165,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,5,Dry bulk carriers,2.066,,14,,42670,,204014,,77916,,404389,,,,,
166,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,13,,31057,,76420,,10800,,43878,,,,,
167,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0392,,15,,9885,,60784,,10706,,64220,,,,,
168,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2022S01,S1   2022,2022,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2313,,11,,101178,,168189,,81703,,155159,,,,,
169,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
170,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
171,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.09,,11,,19404,,172146,,33892,,323527,,,,,
172,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,3,Container ships,0.6,,11,,50187,,217673,,,,,,4644,,21413,
173,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.15,,15,,9744,,91784,,14027,,138743,,,,,
174,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,1.99,,11,,41091,,203403,,74721,,403811,,,,,
175,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29504,,77000,,9715,,43878,,,,,
176,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.98,,12,,10094,,49292,,11170,,64220,,,,,
177,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S01,S1   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.26,,9,,102691,,168189,,83873,,154940,,,,,
178,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,0,All ships,1.04,,12,,32682,,217673,,44703,,404389,,4646,,21413,
179,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,1,Passenger ships,,,11,,18176,,168666,,,,,,,,,
180,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.11,,10,,19635,,170004,,34299,,323527,,,,,
181,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,3,Container ships,0.63,,11,,50122,,217673,,,,,,4646,,21413,
182,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.19,,15,,10413,,91784,,14961,,138743,,,,,
183,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,2,,11,,40877,,203483,,74302,,404389,,,,,
184,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29816,,76420,,9901,,43878,,,,,
185,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.01,,13,,9632,,58100,,10689,,58899,,,,,
186,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2018S02,S2   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.19,,8,,102757,,168189,,82671,,155159,,,,,
187,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,0,All ships,1.0458,,12,,31924,,219775,,44509,,404389,,4681,,21413,
188,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,1,Passenger ships,,,11,,15984,,168666,,,,,,,,,
189,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.1069,,11,,18503,,172146,,32225,,323183,,,,,
190,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,3,Container ships,0.6062,,12,,50166,,219775,,,,,,4681,,21413,
191,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.2014,,15,,10122,,84503,,14388,,105302,,,,,
192,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,1.9813,,12,,41000,,203483,,74504,,404389,,,,,
193,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29295,,77000,,9475,,43878,,,,,
194,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0021,,14,,9241,,50676,,10275,,58899,,,,,
195,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S01,S1   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2083,,10,,98898,,168189,,78972,,155159,,,,,
196,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,0,All ships,1.0313,,12,,32389,,232618,,45529,,404389,,4659,,23756,
197,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,1,Passenger ships,,,12,,17154,,169379,,,,,,,,,
198,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.0646,,10,,20505,,172146,,35963,,323183,,,,,
199,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,3,Container ships,0.5958,,12,,49970,,232618,,,,,,4659,,23756,
200,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.1667,,16,,10077,,91784,,14323,,138743,,,,,
201,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,2.0319,,12,,42121,,204014,,76729,,404389,,,,,
202,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29367,,76420,,9472,,43878,,,,,
203,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.975,,15,,8023,,59226,,8914,,64220,,,,,
204,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2019S02,S2   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1844,,9,,96112,,168189,,75851,,155159,,,,,
205,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,0,All ships,1.0556,,13,,32136,,235500,,45636,,404389,,4665,,23964,
206,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,
207,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000,,323182,,,,,
208,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665,,23964,
209,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,4,Dry breakbulk carriers,1.2507,,17,,10009,,91649,,14189,,101496,,,,,
210,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,5,Dry bulk carriers,2.0215,,13,,41352,,204014,,75286,,404389,,,,,
211,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,34409,,76420,,11208,,43878,,,,,
212,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0083,,15,,8225,,59226,,9047,,64220,,,,,
213,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S01,S1   2020,2020,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1778,,10,,95555,,168189,,76135,,155159,,,,,
214,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,0,All ships,1.0958,,13,,32371,,237200,,46177,,404389,,4611,,23964,
215,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,1,Passenger ships,,,13,,16135,,169379,,,,,,,,,
216,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,2,Liquid bulk carriers,1.1646,,11,,21058,,170618,,36953,,323183,,,,,
217,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,3,Container ships,0.6479,,12,,49176,,237200,,,,,,4611,,23964,
218,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,4,Dry breakbulk carriers,1.2924,,16,,10187,,91784,,14433,,116173,,,,,
219,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,5,Dry bulk carriers,2.0146,,13,,40533,,204014,,73659,,404389,,,,,
220,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,13,,35035,,76420,,11561,,43878,,,,,
221,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0368,,13,,9364,,59229,,10242,,64220,,,,,
222,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2020S02,S2   2020,2020,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2007,,9,,96938,,168189,,77220,,154940,,,,,
223,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,0,All ships,1.134,,14,,31021,,237200,,45026,,404389,,4372,,23964,
224,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,1,Passenger ships,,,14,,14517,,85619,,,,,,,,,
225,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,1.1684,,12,,20121,,170618,,35087,,323183,,,,,
226,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,3,Container ships,0.6806,,13,,46935,,237200,,,,,,4372,,23964,
227,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,4,Dry breakbulk carriers,1.4358,,17,,10039,,91649,,14156,,103652,,,,,
228,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,5,Dry bulk carriers,2.0292,,14,,40526,,204014,,73691,,404389,,,,,
229,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,12,,33820,,76420,,11569,,43878,,,,,
230,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0382,,14,,9479,,61000,,10328,,64220,,,,,
231,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1854,,10,,93756,,168189,,74508,,155159,,,,,
232,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,0,All ships,1.1681,,13,,31131,,236583,,45467,,404389,,4431,,23992,
233,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,1,Passenger ships,,,14,,14324,,77499,,,,,,,,,
234,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,1.1257,,12,,18945,,170618,,32897,,323183,,,,,
235,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,3,Container ships,0.7799,,13,,47583,,236583,,,,,,4431,,23992,
236,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,4,Dry breakbulk carriers,1.5639,,17,,10304,,91649,,14471,,103652,,,,,
237,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,5,Dry bulk carriers,2.066,,14,,41215,,203997,,75108,,404389,,,,,
238,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,12,,31129,,76420,,10989,,43878,,,,,
239,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0472,,14,,9344,,60784,,10166,,64220,,,,,
240,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S02,S2   2021,2021,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1965,,9,,98267,,168189,,78373,,155159,,,,,
241,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,0,All ships,1.1563,,14,,33241,,236583,,46318,,404389,,4446,,24000,
242,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,1,Passenger ships,,,12,,21848,,77499,,,,,,,,,
243,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,2,Liquid bulk carriers,1.1451,,12,,19438,,170618,,33800,,323183,,,,,
244,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,3,Container ships,0.7743,,13,,47428,,236583,,,,,,4446,,24000,
245,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,4,Dry breakbulk carriers,1.6292,,17,,10499,,91649,,14781,,103652,,,,,
246,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,5,Dry bulk carriers,2.066,,14,,42670,,204014,,77916,,404389,,,,,
247,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,13,,31057,,76420,,10800,,43878,,,,,
248,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0392,,15,,9885,,60784,,10706,,64220,,,,,
249,GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2022S01,S1   2022,2022,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2313,,11,,101178,,168189,,81703,,155159,,,,,
250,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
251,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
252,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.09,,11,,19404,,172146,,33892,,323527,,,,,
253,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,3,Container ships,0.6,,11,,50187,,217673,,,,,,4644,,21413,
254,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.15,,15,,9744,,91784,,14027,,138743,,,,,
255,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,1.99,,11,,41091,,203403,,74721,,403811,,,,,
256,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29504,,77000,,9715,,43878,,,,,
257,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.98,,12,,10094,,49292,,11170,,64220,,,,,
258,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S01,S1   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.26,,9,,102691,,168189,,83873,,154940,,,,,
259,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S02,S2   2018,2018,S,Semi-annual,156,0,All ships,1.04,,12,,32682,,217673,,44703,,404389,,4646,,21413,
260,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S02,S2   2018,2018,S,Semi-annual,156,1,Passenger ships,,,11,,18176,,168666,,,,,,,,,
261,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S02,S2   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.11,,10,,19635,,170004,,34299,,323527,,,,,
262,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S02,S2   2018,2018,S,Semi-annual,156,3,Container ships,0.63,,11,,50122,,217673,,,,,,4646,,21413,
263,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S02,S2   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.19,,15,,10413,,91784,,14961,,138743,,,,,
264,SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2018S02,S2   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,2,,11,,40877,,203483,,74302,,404389,,,,,
